"gamma","lambda_0","theta"
17.9967189569776,14.1510886220268,1.27036865881344
17.8209219723651,14.5226337414757,1.29687913769712
16.2349064767543,15.5039950075145,1.3449972982437
17.6644461558716,14.0404397448049,1.25596097422486
17.9931523187671,14.7408095564559,1.36830302558151
17.4571459198036,14.635387028959,1.34287673963331
17.8871001625162,13.7699935889386,1.13957309080821
16.0647760973775,14.768251746489,1.1687773583551
17.8693196092571,14.0045887646808,1.25415273751415
16.683232525166,15.249743447775,1.37189639507355
17.4440773256482,15.6018877238971,1.42628023471855
16.7471139675216,14.5632750075694,1.20293932197875
17.0582527424703,14.5861228263614,1.29517318942607
18.9301011458209,15.1789570143285,1.48119894103611
16.7957086026558,13.8089029485898,1.05973894548499
16.5987180073424,14.9442911486611,1.30401367962993
16.2535914611277,14.749648344367,1.27121854959811
18.3381907382842,14.8033400829723,1.44582666932671
17.6617522650701,14.8285360500407,1.31957092342692
16.4610995863072,14.9177137345308,1.28470817629311
16.8796960661595,14.1809225891101,1.10541966801355
16.6024753826536,14.5916087399437,1.22631723991109
17.7300188876076,14.9378159065301,1.4200739684545
16.8258200346187,14.4709467348028,1.25454116500346
16.9187336675031,14.286379361724,1.25061289866272
17.1138792528308,15.0073880288481,1.34225583355053
18.0621080331158,14.173929766379,1.23930558890306
16.9589756369438,14.2937773332576,1.22252311045058
16.149998230404,14.9770805717116,1.25500106626849
17.7635834182793,14.0054673510771,1.25579950856228
18.2728192490882,14.2369074934555,1.28748901697574
15.7063033584071,15.0235538694476,1.31341328364089
17.6778017068075,15.1052268356759,1.38835583914175
17.7101715655147,14.7160122777585,1.37115819356551
17.142121914641,14.3602161759756,1.22998000214991
16.718511070207,14.8175467190299,1.27649475628203
16.4921208311338,15.0261124959677,1.33394624893893
18.0822370010833,14.255117776602,1.2682153347481
16.7517055959441,14.1725881246206,1.10672690340336
19.241688542598,14.8325643712601,1.48670807417428
16.8013340090058,14.6352726659571,1.21674499907112
16.5342569231767,15.1084206070493,1.34148053811066
16.7677993134768,14.2041850531725,1.20594026091338
17.1487163807236,14.4083327665595,1.25661363588132
16.8182608244409,14.7878020934908,1.36058841365441
16.3710232031984,15.0573411559029,1.25222970929441
17.9818563834958,14.8711577510026,1.39149945087396
17.3619760363428,15.1907993649759,1.45201261639097
16.077703548909,15.1861622197375,1.27930843630159
15.8215767736146,15.0510249358946,1.28967325461022
16.1756720434644,15.2176084565009,1.3061909448618
17.1569261944129,15.0647428230854,1.38149991050474
16.080412494641,14.9892585371233,1.23435263688322
18.22120332642,14.3111355795503,1.25099858708788
18.5203820475064,14.6126921214908,1.35537170389281
