"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"200",-0.659080092271506,-1.5904125444919,-1.93406430511741,-2.02274435354004,68,7.08333333333333,1.25
"201",-1.30470881038501,-1.81492208440561,-2.0216131844812,-2.07890717213818,12,7.66666666666667,1.25
"202",-1.30836777850074,-1.83657496190907,-2.04908733787896,-2.10782370204439,14.3333333333333,7.66666666666667,1.25
"203",-1.3062648674043,-1.85244926131678,-2.07078455294944,-2.1309399002894,16.6666666666667,7.66666666666667,1.25
"204",-1.29933323737521,-1.8634812605944,-2.08764087090997,-2.14919623229247,19,7.66666666666667,1.25
"205",-1.28829099617683,-1.87039140499748,-2.1003765476559,-2.16331626038118,21.3333333333333,7.66666666666667,1.25
"206",-1.27370342861896,-1.87374677506839,-2.10955850992961,-2.17386944402013,23.6666666666667,7.66666666666667,1.25
"207",-1.25602405020707,-1.87400229433275,-2.11564155465342,-2.18131256076868,26,7.66666666666667,1.25
"208",-1.23562262953391,-1.87152885479227,-2.11899646837839,-2.18601797364169,28.3333333333333,7.66666666666667,1.25
"209",-1.21280487472563,-1.86663307446593,-2.11992978037139,-2.18829348592091,30.6666666666667,7.66666666666667,1.25
"210",-1.18782660927859,-1.85957152352295,-2.1186979854077,-2.18839663573301,33,7.66666666666667,1.25
"211",-1.16090420058465,-1.85056118918942,-2.11551800613261,-2.18654521021486,35.3333333333333,7.66666666666667,1.25
"212",-1.13222237681264,-1.83978731946324,-2.11057503480997,-2.18292512538624,37.6666666666667,7.66666666666667,1.25
"213",-1.10194018393645,-1.82740940027699,-2.10402850894611,-2.17769643032125,40,7.66666666666667,1.25
"214",-1.07019559274731,-1.81356577785189,-2.09601673242529,-2.17099794999297,42.3333333333333,7.66666666666667,1.25
"215",-1.03710910909352,-1.79837728078866,-2.08666049662577,-2.16295092312869,44.6666666666667,7.66666666666667,1.25
"216",-1.00278663682532,-1.78195009228128,-2.07606595184615,-2.1536618867052,47,7.66666666666667,1.25
"217",-0.967321772697684,-1.76437805235092,-2.06432690889752,-2.14322498786088,49.3333333333333,7.66666666666667,1.25
"218",-0.93079766404718,-1.74574452138085,-2.05152670211114,-2.13172385513684,51.6666666666667,7.66666666666667,1.25
"219",-0.893288526070286,-1.7261239021197,-2.03773971090545,-2.11923312667502,54,7.66666666666667,1.25
"220",-0.854860891304612,-1.70558289300666,-2.02303261274747,-2.1058197085668,56.3333333333333,7.66666666666667,1.25
"221",-0.815574646397535,-1.68418152809205,-2.00746542276841,-2.09154381888028,58.6666666666667,7.66666666666667,1.25
"222",-0.775483898413922,-1.66197404594876,-1.99109236241765,-2.0764598599538,61,7.66666666666667,1.25
"223",-0.734637703418831,-1.63900962042025,-1.97396258999237,-2.06061715194881,63.3333333333333,7.66666666666667,1.25
"224",-0.693080682935563,-1.61533297889082,-1.95612081872152,-2.0440605534612,65.6666666666667,7.66666666666667,1.25
"225",-0.650853548473137,-1.59098492833873,-1.93760784265927,-2.02683098954025,68,7.66666666666667,1.25
"226",-1.31802148787452,-1.83704601617986,-2.04670222924308,-2.10455356684661,12,8.25,1.25
"227",-1.31919392926653,-1.85620923258448,-2.07168744344917,-2.13097705776463,14.3333333333333,8.25,1.25
"228",-1.31496636438246,-1.86995657852573,-2.09125830762339,-2.15196394368033,16.6666666666667,8.25,1.25
"229",-1.30619187465599,-1.8791440216558,-2.10627057742632,-2.16837408245306,19,8.25,1.25
"230",-1.29353129271657,-1.88443457507193,-2.1173870950383,-2.18087340569559,21.3333333333333,8.25,1.25
"231",-1.27750770805754,-1.88635301418328,-2.12513249608892,-2.18998893095027,23.6666666666667,8.25,1.25
"232",-1.25854277141824,-1.88532231897258,-2.12992964480368,-2.19614539554376,26,8.25,1.25
"233",-1.23698167694005,-1.881688749253,-2.13212470406442,-2.1996904604579,28.3333333333333,8.25,1.25
"234",-1.21311083507073,-1.87573958226326,-2.13200486913982,-2.20091253679919,30.6666666666667,8.25,1.25
"235",-1.18717067541986,-1.86771596159439,-2.12981121369031,-2.20005369769007,33,8.25,1.25
"236",-1.15936511515678,-1.85782239910909,-2.1257481894458,-2.1973192257756,35.3333333333333,8.25,1.25
"237",-1.12986868948248,-1.84623393026721,-2.1199907797879,-2.19288480219058,37.6666666666667,8.25,1.25
"238",-1.09883200827466,-1.83310158950743,-2.11268997375957,-2.18690200719052,40,8.25,1.25
"239",-1.06638599195005,-1.81855666044636,-2.10397701517233,-2.17950258958941,42.3333333333333,8.25,1.25
"240",-1.03264520210539,-1.80271401763692,-2.09396674348688,-2.17080182337692,44.6666666666667,8.25,1.25
"241",-0.997710490867644,-1.78567478464412,-2.08276025117673,-2.16090117741144,47,8.25,1.25
"242",-0.961671130547333,-1.76752847062188,-2.0704470197225,-2.14989046118155,49.3333333333333,8.25,1.25
"243",-0.924606541988444,-1.74835470421169,-2.05710665303003,-2.13784956603971,51.6666666666667,8.25,1.25
"244",-0.886587709563396,-1.72822465302531,-2.04281029651415,-2.12484989059772,54,8.25,1.25
"245",-0.847678348975117,-1.70720219510702,-2.02762180822728,-2.11095551699603,56.3333333333333,8.25,1.25
