"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,23.9746368830787,2.19746544179307,1,2.20489501953125,26.039051433502,10
4,23.8454932943514,2.17702326180641,1,2.17437744140625,25.7813083113753,10
4,23.7853987889998,2.18295816585846,1,2.19345092773438,25.8570218858108,10
4,23.723731620366,2.17754127239034,1,2.18963623046875,25.8625583676278,10
4,23.7436925228687,2.1819114281388,1,2.20108032226562,25.9635829260802,10
4,24.1980694395309,2.20583309872387,1,2.20489501953125,26.0470991220602,10
4,24.0663577384102,2.19823982227265,1,2.20489501953125,26.0789811407446,10
4,23.6904053298436,2.17469077726473,1,2.17819213867188,25.6413393586674,10
4,23.8476272621966,2.18388418913406,1,2.18582153320312,25.7660966146547,10
4,23.7248856197545,2.18785543512807,1,2.20870971679688,26.0181639100751,10
4,24.2559592503224,2.21770069780929,1,2.22015380859375,26.1863631609247,10
4,23.7372110321811,2.17105837186702,1,2.19345092773438,26.0507794138649,10
4,23.8444348007483,2.19000694465123,1,2.197265625,25.86379231967,10
4,24.2619653161381,2.22085290769345,1,2.21633911132812,26.0956086552916,10
4,24.4452744454406,2.22441788409381,1,2.21633911132812,26.2169531757522,10
4,23.841651218565,2.18242736913042,1,2.1820068359375,25.7702356626956,10
4,23.8425409912546,2.17966587184712,1,2.18582153320312,25.8663139707278,10
4,24.1703435822264,2.22020735812671,1,2.23159790039062,26.2924026754524,10
4,23.5216635293774,2.14933277077857,1,2.16293334960938,25.6360950910327,10
4,23.7288656206535,2.16827416315945,1,2.17819213867188,25.818777475516,10
4,23.6930796374631,2.17095778610681,1,2.17819213867188,25.7381146274739,10
4,23.965258740837,2.18840101672209,1,2.197265625,25.9706248333187,10
4,24.0007249131673,2.20820371392242,1,2.21633911132812,26.0565553987477,10
4,23.8022551724367,2.1802985386256,1,2.18963623046875,25.8813543275635,10
4,23.875460231284,2.18702724944809,1,2.18963623046875,25.8523235177197,10
4,24.1186136410876,2.19681632884365,1,2.197265625,26.0085112500221,10
4,23.7977669686004,2.18108188530937,1,2.1820068359375,25.6879909999372,10
4,23.4706006188835,2.16432396352009,1,2.1820068359375,25.6944671067949,10
4,23.7609545666822,2.18139290943919,1,2.1820068359375,25.6942794042071,10
4,23.8829629757302,2.188234241916,1,2.18963623046875,25.8305880860716,10
4,23.993894798279,2.19807046390142,1,2.20108032226562,25.9730126234583,10
4,23.610419552783,2.15231603639636,1,2.15530395507812,25.6016297563212,10
4,23.7775541130557,2.19028120778916,1,2.197265625,25.7964232388182,10
4,23.9237324938789,2.18550848031196,1,2.19345092773438,25.9885075098071,10
4,24.0219605763285,2.19014870535058,1,2.18963623046875,25.9277849914261,10
4,23.7684651104852,2.17293987042308,1,2.17819213867188,25.7741987226509,10
4,24.0880543265263,2.2113903272386,1,2.20870971679688,25.9038375412079,10
4,23.930967119361,2.20132674854832,1,2.20870971679688,25.9509150086696,10
4,24.1407764790123,2.21428428511544,1,2.22015380859375,26.0988049475891,10
4,24.0611832726737,2.19868923645708,1,2.18963623046875,25.8292684837221,10
4,23.7539417734325,2.18772676484733,1,2.197265625,25.8542862159066,10
4,24.1054650950679,2.21640120550939,1,2.22015380859375,26.02820031891,10
4,23.8193326230574,2.1850475225018,1,2.18582153320312,25.7660628731232,10
